season_id,season_year,start_year,end_year,mvp,player_id
22010,2010-11,2010,2011,Derrick Rose,201565
22011,2011-12,2011,2012,LeBron James,2544
22012,2012-13,2012,2013,LeBron James,2544
22013,2013-14,2013,2014,Kevin Durant,201142
22014,2014-15,2014,2015,Stephen Curry,201939
22015,2015-16,2015,2016,Stephen Curry,201939
22016,2016-17,2016,2017,Russell Westbrook,201566
22017,2017-18,2017,2018,James Harden,201935
22018,2018-19,2018,2019,Giannis Antetokounmpo,203507
22019,2019-20,2019,2020,Giannis Antetokounmpo,203507
22020,2020-21,2020,2021,Nikola Jokic,203999
22021,2021-22,2021,2022,,
